iter	Passed	Remaining
0	1	1004
1	1	915
2	2	886
3	3	837
4	4	822
5	4	817
6	5	803
7	6	805
8	7	821
9	8	807
10	8	806
11	9	800
12	10	804
13	11	797
14	12	788
15	12	778
16	13	776
17	14	776
18	14	773
19	15	769
20	16	762
21	17	761
22	17	761
23	18	757
24	19	752
25	19	746
26	20	741
27	21	744
28	22	744
29	22	742
30	23	739
31	24	733
32	24	732
33	25	724
34	26	724
35	26	722
36	27	721
37	28	722
38	29	721
39	29	717
40	30	716
41	31	715
42	32	716
43	32	715
44	33	716
45	34	715
46	35	712
47	35	711
48	36	712
49	37	711
50	38	710
51	38	710
52	39	712
53	40	712
54	41	713
55	42	713
56	43	711
57	43	711
58	44	711
59	45	710
60	46	709
61	46	707
62	47	707
63	48	706
64	49	705
65	49	705
66	50	707
67	51	709
68	52	706
69	52	703
70	53	699
71	53	695
72	54	690
73	54	687
74	55	684
75	56	681
76	56	680
77	57	677
78	57	674
79	58	670
80	58	668
81	59	665
82	59	659
83	60	655
84	60	653
85	61	649
86	61	647
87	62	644
88	62	642
89	63	640
90	63	638
91	64	636
92	65	635
93	65	633
94	66	630
95	66	629
96	67	628
97	68	626
98	68	624
99	69	622
100	69	620
101	70	619
102	70	616
103	71	615
104	72	614
105	72	612
106	73	610
107	73	608
108	74	606
109	74	605
110	75	603
111	75	601
112	76	599
113	76	598
114	77	596
115	78	594
116	78	591
117	78	590
118	79	589
119	80	588
120	80	587
121	81	584
122	81	583
123	82	582
124	83	582
125	83	581
126	84	578
127	84	577
128	85	576
129	86	575
130	86	573
131	87	572
132	87	571
133	88	570
134	88	569
135	89	567
136	89	566
137	90	564
138	90	563
139	91	561
140	91	560
141	92	557
142	92	556
143	93	556
144	94	555
145	94	554
146	95	553
147	96	552
148	96	551
149	97	550
150	97	549
151	98	548
152	98	547
153	99	545
154	99	544
155	100	543
156	100	542
157	101	540
158	102	539
159	102	538
160	102	536
161	103	535
162	103	533
163	104	532
164	105	531
165	105	530
166	106	529
167	106	528
168	107	527
169	107	525
170	108	525
171	108	524
172	109	523
173	110	522
174	110	522
175	111	520
176	111	520
177	112	519
178	113	518
179	113	518
180	114	517
181	114	515
182	115	514
183	115	514
184	116	513
185	117	512
186	117	511
187	118	510
188	118	509
189	119	508
190	119	507
191	120	506
192	120	505
193	121	504
194	121	503
195	122	502
196	123	501
197	123	500
198	124	500
199	124	499
200	125	498
201	125	497
202	126	496
203	126	495
204	127	494
205	128	493
206	128	492
207	129	492
208	129	491
209	130	490
210	130	489
211	131	489
212	132	488
213	132	487
214	133	486
215	133	485
216	134	484
217	134	483
218	135	482
219	135	481
220	136	480
221	136	479
222	137	479
223	138	479
224	139	478
225	139	478
226	140	477
227	140	475
228	141	475
229	141	474
230	142	473
231	143	476
232	144	475
233	145	475
234	145	474
235	146	474
236	147	473
237	147	472
238	148	472
239	148	471
240	149	470
241	149	469
242	150	468
243	150	467
244	151	466
245	151	465
246	152	464
247	152	463
248	153	462
249	153	461
250	154	460
251	154	459
252	155	459
253	156	458
254	156	457
255	157	456
256	157	456
257	158	455
258	159	455
259	159	454
260	160	454
261	160	453
262	161	452
263	162	453
264	164	457
265	165	458
266	167	459
267	168	458
268	168	458
269	169	458
270	170	457
271	170	457
272	171	456
273	172	455
274	172	455
275	173	454
276	173	454
277	174	453
278	175	452
279	175	452
280	176	451
281	177	450
282	177	450
283	178	449
284	178	448
285	179	447
286	179	446
287	180	445
288	180	444
289	181	444
290	182	443
291	182	442
292	183	441
293	183	441
294	184	440
295	184	439
296	185	438
297	185	437
298	186	437
299	187	436
300	187	435
301	187	434
302	188	433
303	189	433
304	190	433
305	190	432
306	191	431
307	192	431
308	192	431
309	193	430
310	193	429
311	194	428
312	195	428
313	195	427
314	196	426
315	196	425
316	197	425
317	197	424
318	198	423
319	198	422
320	199	422
321	200	421
322	200	420
323	201	419
324	201	419
325	202	418
326	202	417
327	203	416
328	203	415
329	204	414
330	204	414
331	205	413
332	205	412
333	206	411
334	206	410
335	207	409
336	208	409
337	208	408
338	209	407
339	209	406
340	210	406
341	210	405
342	211	404
343	211	404
344	212	403
345	213	402
346	213	402
347	214	401
348	214	400
349	215	399
350	215	399
351	216	398
352	217	397
353	217	396
354	218	396
355	218	395
356	219	394
357	219	394
358	220	393
359	220	392
360	221	392
361	222	391
362	222	390
363	223	390
364	223	389
365	224	388
366	224	387
367	225	387
368	225	386
369	226	385
370	227	385
371	227	384
372	228	383
373	228	383
374	229	382
375	230	381
376	230	381
377	231	380
378	231	380
379	232	379
380	233	378
381	233	377
382	234	377
383	234	376
384	235	375
385	235	374
386	236	374
